UnitID,Institution Name,Full-time adjusted fall 2013 cohort (EF2014D),Students from the full-time adjusted fall 2013 cohort enrolled in fall 2014 (EF2014D),Full-time adjusted fall 2012 cohort (EF2013D),Students from the full-time adjusted fall 2012 cohort enrolled in fall 2013 (EF2013D),Full-time adjusted fall 2011 cohort (EF2012D),Students from the full-time adjusted fall 2011 cohort enrolled in fall 2012 (EF2012D),Full-time adjusted fall 2010 cohort (EF2011D),Students from the full-time adjusted fall 2010 cohort enrolled in fall 2011 (EF2011D),Full-time adjusted fall 2009 cohort (EF2010D),Students from the full-time adjusted fall 2009 cohort enrolled in fall 2010 (EF2010D),Full-time adjusted fall 2008 cohort (EF2009D),Students from the full-time adjusted fall 2008 cohort enrolled in fall 2009 (EF2009D),Full-time adjusted fall 2007 cohort (EF2008D),Students from the full-time adjusted fall 2007 cohort enrolled in fall 2008 (EF2008D)
447935,ATA College,34,22,46,32,49,32,73,58,50,44,31,23,14,12
156286,Bellarmine University,674,537,606,483,595,483,573,448,600,497,567,441,567,455
157599,Brown Mackie College-Louisville,0,0,1,0,0,0,8,4,0,0,312,143,305,297
406219,Daymar College-Louisville,,,0,0,6,6,11,11,31,30,43,15,61,15
460473,Daymar College-Louisville,,,,,0,0,1,1,0,0,,,,
458557,Daymar College-Online,0,0,0,0,1,0,1,0,0,0,,,,
156648,Elizabethtown Community and Technical College,834,495,923,492,914,506,1045,598,1142,683,853,511,707,420
156471,Galen College of Nursing-Louisville,70,39,113,72,106,99,88,72,103,81,65,51,175,142
150756,Hanover College,334,273,372,301,321,266,320,257,293,236,328,264,231,192
151379,Indiana University-Southeast,902,556,819,498,878,514,928,598,974,617,950,596,772,485
413857,ITT Technical Institute-Louisville,0,0,0,0,0,0,0,0,0,0,0,0,74,30
156921,Jefferson Community and Technical College,872,446,1105,536,947,481,1122,602,1294,729,1198,722,1230,640
442897,Ottawa University-Jeffersonville,0,0,,,,,,,,,,,,
157632,Saint Catharine College,75,43,126,78,111,57,98,50,85,42,81,52,144,90
461759,Simmons College of Kentucky,0,0,0,0,0,0,2,2,,,,,,
157757,Spalding University,182,134,171,125,152,113,117,85,87,63,102,72,104,72
157766,Spencerian College-Louisville,0,0,120,44,234,86,264,107,383,152,336,170,347,186
157270,Sullivan College of Technology and Design,0,0,0,0,0,0,0,0,5,5,3,3,123,89
157793,Sullivan University,0,0,0,0,0,0,0,0,0,0,9,6,270,134
157748,The Southern Baptist Theological Seminary,96,66,66,61,45,37,45,37,46,40,169,122,48,44
157289,University of Louisville,2805,2260,2645,2060,2511,1935,2512,1952,2440,1896,2546,1999,2527,1963
445391,University of Phoenix-Kentucky,6,5,16,11,21,9,22,13,21,9,28,12,0,0
